genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	31	na	35480359	103686687	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_31.d_na	na	530.62	1644452	125.53	5341464	5.859999999999999	110104	Neg	1000000	656.15	5341464	5.859999999999999	24.82590438276005
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	31	na	35480359	103686687	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_31.d_na	na	530.62	1644452	125.53	5341464	13.02	110104	Pos	1000000	656.15	5341464	13.02	24.82590438276005
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	31	na	35480359	143875071	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_31.d_na	na	530.62	1644452	125.53	5341464	3.6999999999999997	149352	Str	999810	656.15	5341464	3.7007031335953826	33.67542025152564
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	31	0	35480359	627245720	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_0	na	na	na	4306.8	34901776	1.97	641708	Neg	1000000	4306.8	34901776	1.9699999999999998	144.6903059802749
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	31	0	35480359	627245720	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_0	na	na	na	4306.8	34901776	4.300000000000001	641936	Pos	1000000	4306.8	34901776	4.300000000000001	144.74171470474693
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	31	0	35480359	774586176	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_0	na	na	na	4306.8	34901776	1.33	785660	Str	999810	4306.8	34901776	1.3302527480221242	177.1481511785154
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	31	1	35480359	220890666	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_1	na	na	na	1721.52	18251744	14.95	245180	Neg	1000000	1721.52	18251744	14.95	55.2824169563786
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	31	1	35480359	220890666	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_1	na	na	na	1721.52	18251744	34.120000000000005	245184	Pos	1000000	1721.52	18251744	34.120000000000005	55.28331886382548
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	31	1	35480359	299035482	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_1	na	na	na	1721.52	18251744	10.6	321508	Str	999810	1721.52	18251744	10.602014382732719	72.49261485770198
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	SSHash	eulertigs	15	na	199941829	564015292	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	1319	64898504	84.25999999999999	3410336	5.18	554624	Neg	1000000	1403.26	64898504	5.18	22.191414483859703
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	SSHash	eulertigs	15	na	199941829	564015292	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	1319	64898504	84.25999999999999	3410336	3.18	554616	Pos	1000000	1403.26	64898504	3.18	22.191094390759023
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	SSHash	eulertigs	15	na	199941829	564015292	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_15.d_na	na	1319	64898504	84.25999999999999	3410336	2.25	554616	Str	999856	1403.26	64898504	2.2503240466627195	22.191094390759023
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	cbl	none	15	na	199941829	524600745	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	277.85	1168024	6.22	1075692	Neg	1000000	277.85	1168024	6.22	43.04019845692219
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	cbl	none	15	na	199941829	524600745	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	277.85	1168024	7.97	1075648	Pos	1000000	277.85	1168024	7.97	43.038437944868456
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	cbl	none	15	na	199941829	524600745	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_na	na	na	na	277.85	1168024	7.760000000000001	1075648	Str	999856	277.85	1168024	7.7611176009345355	43.038437944868456
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	fmsi	global	15	na	199941829	73586990	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_15.d_na	na	540.5600000000001	9030216	82.65	3953956	5.28	79432	Neg	1000000	623.21	9030216	5.28	3.1782043966397846
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	fmsi	global	15	na	199941829	73586990	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_15.d_na	na	540.5600000000001	9030216	82.65	3953956	4.17	79432	Pos	1000000	623.21	9030216	4.17	3.1782043966397846
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	fmsi	global	15	na	199941829	103328262	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_15.d_na	na	540.5600000000001	9030216	82.65	3953956	2.33	108480	Str	999856	623.21	9030216	2.3303355683218383	4.3404624452044995
